ImplementationVersion,FamilyKey,Family,ConfigurationID,Method,Backbone,InternalMethod,RatioKey,Ratio,Run,OuterFold,N_Train_Source,N_Train_Final,N_Real,N_Synthetic,N_Train_NonInteraction,N_Train_Interaction,Scaler_Fit_N,N_Validation,N_Test,Final_Train_Loss,Final_Train_Accuracy,Final_Val_Loss,Final_Val_Accuracy,Fit_Seconds,Status
dnn_oof_v1_fixed_5fold_10run_73configs,ion_channel,Ion Channel,MSCMF__NoDA__NO_DA,MSCMF (No DA),MSCMF,NoDA,NO_DA,No aug.,6,1,27417,27417,27417,0,26472,945,27417,6855,8568,0.005079762544482946,0.9988328218460083,0.0827196016907692,0.9892049431800842,12.195902109146118,PASS
dnn_oof_v1_fixed_5fold_10run_73configs,ion_channel,Ion Channel,MSCMF__NoDA__NO_DA,MSCMF (No DA),MSCMF,NoDA,NO_DA,No aug.,6,2,27417,27417,27417,0,26472,945,27417,6855,8568,0.0036721876822412014,0.9986869692802429,0.07450956106185913,0.9890590906143188,12.107205867767334,PASS
dnn_oof_v1_fixed_5fold_10run_73configs,ion_channel,Ion Channel,MSCMF__NoDA__NO_DA,MSCMF (No DA),MSCMF,NoDA,NO_DA,No aug.,6,3,27417,27417,27417,0,26472,945,27417,6855,8568,0.004293479025363922,0.9986869692802429,0.06552163511514664,0.9906637668609619,12.119030714035034,PASS
dnn_oof_v1_fixed_5fold_10run_73configs,ion_channel,Ion Channel,MSCMF__NoDA__NO_DA,MSCMF (No DA),MSCMF,NoDA,NO_DA,No aug.,6,4,27417,27417,27417,0,26472,945,27417,6855,8568,0.0037380268331617117,0.9987598657608032,0.05756862089037895,0.9924142956733704,12.090884923934937,PASS
dnn_oof_v1_fixed_5fold_10run_73configs,ion_channel,Ion Channel,MSCMF__NoDA__NO_DA,MSCMF (No DA),MSCMF,NoDA,NO_DA,No aug.,6,5,27417,27417,27417,0,26473,944,27417,6855,8568,0.0027514721732586622,0.9991976022720337,0.05727261304855347,0.9906637668609619,12.310514211654663,PASS
dnn_oof_v1_fixed_5fold_10run_73configs,ion_channel,Ion Channel,MSCMF__NoDA__NO_DA,MSCMF (No DA),MSCMF,NoDA,NO_DA,No aug.,7,1,27417,27417,27417,0,26472,945,27417,6855,8568,0.003405847819522023,0.9992340803146362,0.07187143713235855,0.9896426200866699,11.670076131820679,PASS
dnn_oof_v1_fixed_5fold_10run_73configs,ion_channel,Ion Channel,MSCMF__NoDA__NO_DA,MSCMF (No DA),MSCMF,NoDA,NO_DA,No aug.,7,2,27417,27417,27417,0,26472,945,27417,6855,8568,0.004832347389310598,0.9988692998886108,0.06632714718580246,0.9887673258781433,11.61255693435669,PASS
dnn_oof_v1_fixed_5fold_10run_73configs,ion_channel,Ion Channel,MSCMF__NoDA__NO_DA,MSCMF (No DA),MSCMF,NoDA,NO_DA,No aug.,7,3,27417,27417,27417,0,26472,945,27417,6855,8568,0.0027087589260190725,0.9992340803146362,0.06670583784580231,0.9902260899543762,11.882224082946777,PASS
dnn_oof_v1_fixed_5fold_10run_73configs,ion_channel,Ion Channel,MSCMF__NoDA__NO_DA,MSCMF (No DA),MSCMF,NoDA,NO_DA,No aug.,7,4,27417,27417,27417,0,26472,945,27417,6855,8568,0.0038434749003499746,0.999015212059021,0.04641111567616463,0.9921225309371948,11.95515775680542,PASS
dnn_oof_v1_fixed_5fold_10run_73configs,ion_channel,Ion Channel,MSCMF__NoDA__NO_DA,MSCMF (No DA),MSCMF,NoDA,NO_DA,No aug.,7,5,27417,27417,27417,0,26473,944,27417,6855,8568,0.0017966297455132008,0.9995988011360168,0.08138833940029144,0.9899343252182007,11.88713002204895,PASS
dnn_oof_v1_fixed_5fold_10run_73configs,ion_channel,Ion Channel,MSCMF__NoDA__NO_DA,MSCMF (No DA),MSCMF,NoDA,NO_DA,No aug.,8,1,27417,27417,27417,0,26472,945,27417,6855,8568,0.0024871041532605886,0.9993434548377991,0.07016469538211823,0.9897884726524353,12.406843185424805,PASS
dnn_oof_v1_fixed_5fold_10run_73configs,ion_channel,Ion Channel,MSCMF__NoDA__NO_DA,MSCMF (No DA),MSCMF,NoDA,NO_DA,No aug.,8,2,27417,27417,27417,0,26472,945,27417,6855,8568,0.0008677553269080818,0.9997811317443848,0.08071992546319962,0.9867250323295593,11.336248397827148,PASS
dnn_oof_v1_fixed_5fold_10run_73configs,ion_channel,Ion Channel,MSCMF__NoDA__NO_DA,MSCMF (No DA),MSCMF,NoDA,NO_DA,No aug.,8,3,27417,27417,27417,0,26472,945,27417,6855,8568,0.004403929226100445,0.9986504912376404,0.07699889689683914,0.9896426200866699,11.7491135597229,PASS
dnn_oof_v1_fixed_5fold_10run_73configs,ion_channel,Ion Channel,MSCMF__NoDA__NO_DA,MSCMF (No DA),MSCMF,NoDA,NO_DA,No aug.,8,4,27417,27417,27417,0,26472,945,27417,6855,8568,0.001128451433032751,0.9995623230934143,0.0661705955862999,0.9924142956733704,11.909292697906494,PASS
dnn_oof_v1_fixed_5fold_10run_73configs,ion_channel,Ion Channel,MSCMF__NoDA__NO_DA,MSCMF (No DA),MSCMF,NoDA,NO_DA,No aug.,8,5,27417,27417,27417,0,26473,944,27417,6855,8568,0.0029002008959650993,0.9991976022720337,0.06200544163584709,0.9906637668609619,12.399906396865845,PASS
dnn_oof_v1_fixed_5fold_10run_73configs,ion_channel,Ion Channel,MSCMF__NoDA__NO_DA,MSCMF (No DA),MSCMF,NoDA,NO_DA,No aug.,9,1,27417,27417,27417,0,26472,945,27417,6855,8568,0.0026500641833990812,0.9991611242294312,0.08960622549057007,0.9884755611419678,12.560548305511475,PASS
dnn_oof_v1_fixed_5fold_10run_73configs,ion_channel,Ion Channel,MSCMF__NoDA__NO_DA,MSCMF (No DA),MSCMF,NoDA,NO_DA,No aug.,9,2,27417,27417,27417,0,26472,945,27417,6855,8568,0.0037158962804824114,0.9989057779312134,0.06752925366163254,0.9878920316696167,12.135428667068481,PASS
dnn_oof_v1_fixed_5fold_10run_73configs,ion_channel,Ion Channel,MSCMF__NoDA__NO_DA,MSCMF (No DA),MSCMF,NoDA,NO_DA,No aug.,9,3,27417,27417,27417,0,26472,945,27417,6855,8568,0.002228090539574623,0.9994893670082092,0.07458309829235077,0.9906637668609619,12.204326868057251,PASS
dnn_oof_v1_fixed_5fold_10run_73configs,ion_channel,Ion Channel,MSCMF__NoDA__NO_DA,MSCMF (No DA),MSCMF,NoDA,NO_DA,No aug.,9,4,27417,27417,27417,0,26472,945,27417,6855,8568,0.0024441946297883987,0.999270498752594,0.04702617973089218,0.9915390014648438,11.43502426147461,PASS
dnn_oof_v1_fixed_5fold_10run_73configs,ion_channel,Ion Channel,MSCMF__NoDA__NO_DA,MSCMF (No DA),MSCMF,NoDA,NO_DA,No aug.,9,5,27417,27417,27417,0,26473,944,27417,6855,8568,0.002285161055624485,0.9993434548377991,0.07596717774868011,0.9903720021247864,11.820622205734253,PASS
dnn_oof_v1_fixed_5fold_10run_73configs,ion_channel,Ion Channel,MSCMF__NoDA__NO_DA,MSCMF (No DA),MSCMF,NoDA,NO_DA,No aug.,10,1,27417,27417,27417,0,26472,945,27417,6855,8568,0.0031844316981732845,0.9993434548377991,0.059911392629146576,0.9877461791038513,12.297353982925415,PASS
dnn_oof_v1_fixed_5fold_10run_73configs,ion_channel,Ion Channel,MSCMF__NoDA__NO_DA,MSCMF (No DA),MSCMF,NoDA,NO_DA,No aug.,10,2,27417,27417,27417,0,26472,945,27417,6855,8568,0.0007861613412387669,0.999744713306427,0.08867673575878143,0.9897884726524353,12.676120281219482,PASS
